Assembly	embplant_pt.K105.scaffolds.graph1.1.path_sequence
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	123717
Total length (>= 1000 bp)	123717
Total length (>= 5000 bp)	123717
Total length (>= 10000 bp)	123717
Total length (>= 25000 bp)	123717
Total length (>= 50000 bp)	123717
# contigs	1
Largest contig	123717
Total length	123717
GC (%)	28.27
N50	123717
N90	123717
auN	123717.0
L50	1
L90	1
# N's per 100 kbp	0.00
