# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-a" "analyses/03_annotation/braker3_chr3/braker_output/braker.gtf" "-o" "analyses/06_counts/featurecounts_braker_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g1	contig_102_pilon	289	388	-	100	0	1	0	0	1	0
g2	contig_102_pilon	1091	1339	-	249	0	0	0	0	0	2
g3	contig_102_pilon;contig_102_pilon;contig_102_pilon	1793;1932;2037	1888;1991;2183	+;+;+	303	1	0	8	91	0	229
g4	contig_102_pilon	2277	2615	-	339	0	1	5	23	0	62
g5	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	4259;4761;5022;5577;5944	4562;4888;5255;5835;6152	+;+;+;+;+	1134	0	0	0	17	0	93
g6	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	6185;6456;6593;6816	6218;6507;6701;7256	-;-;-;-	636	0	0	28	43	2	125
g7	contig_102_pilon;contig_102_pilon	7284;7995	7414;8103	-;-	240	0	0	0	0	0	0
g8	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	7284;8136;8669;8880	7439;8185;8744;8900	-;-;-;-	303	0	0	0	6	0	5
g9	contig_103_pilon;contig_103_pilon	155;772	541;816	+;+	432	0	0	0	6	0	3
g10	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	9271;9475;9929;10337	9331;9611;10114;10648	+;+;+;+	696	0	0	0	0	0	0
g11	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	14422;14729;15207;16020;16444	14448;15000;15898;16259;16874	+;+;+;+;+	1662	0	0	0	0	0	0
g12	contig_103_pilon;contig_103_pilon	21206;21802	21512;22025	+;+	531	0	0	0	0	0	0
g13	contig_103_pilon	23596	23874	+	279	0	0	0	0	0	0
g14	contig_103_pilon;contig_103_pilon	24927;25104	24992;25367	+;+	330	0	0	0	0	0	0
g15	contig_103_pilon;contig_103_pilon;contig_103_pilon	29707;29995;30657	29866;30282;30826	+;+;+	618	0	0	0	0	0	0
g16	contig_103_pilon;contig_103_pilon;contig_103_pilon	37988;38166;39079	38074;38904;39350	-;-;-	1098	4	0	3	0	0	6
g17	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	69380;69792;70150;70714;70915;71615;71969;72307;73207	69573;69864;70268;70872;71034;71869;72074;72405;74109	+;+;+;+;+;+;+;+;+	2028	933	493	1061	241	296	245
g18	contig_103_pilon;contig_103_pilon	74249;75546	74415;75834	+;+	456	136	40	109	30	40	35
g19	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	78910;79131;80074;80441	78966;79382;80140;80715	-;-;-;-	651	40	5	9	30	21	24
g20	contig_103_pilon;contig_103_pilon;contig_103_pilon	82769;82769;83952	84019;83895;83964	+;+;+	1251	266	82	61	75	67	166
g21	contig_103_pilon	84472	84876	-	405	85	126	67	152	144	201
g22	contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon;contig_103_pilon	85139;85678;86116;86390;86572	85381;85809;86153;86456;87096	+;+;+;+;+	1005	937	762	679	791	1158	1141
