"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g471",924.703711456709,-3.78295095113877,0.39508600005167,-9.57500632936632,1.01851068358519e-21,1.04448270601662e-18
"g2428",676.638364854932,3.90607765999139,0.40511016422382,9.64201346928762,5.31353587637134e-22,1.04448270601662e-18
"g1979",134.138064337677,5.13099130475095,0.553359406283013,9.27243893659726,1.81937225863777e-20,1.24384416748869e-17
"g1048",846.100062300446,3.86881358545596,0.429411461435575,9.00957224691219,2.06861751122843e-19,8.48546903105901e-17
"g1207",255.304653981412,4.54301686727426,0.503233569741829,9.02765065853007,1.75396736200926e-19,8.48546903105901e-17
"g1311",593.796973251479,3.73107277624427,0.41781324996686,8.93000108670612,4.2600460794921e-19,1.45622575150638e-16
"g2427",957.71589554982,3.53743342803222,0.412852675092621,8.56827057554762,1.05050732797641e-17,3.07798647097089e-15
"g2784",93.6977165334189,4.87108107321435,0.587402065134608,8.29258418098701,1.10814190268962e-16,2.84099880302052e-14
"g609",28205.1921131666,4.42275686654585,0.542836379036116,8.14749533625415,3.7153921455881e-16,8.46696587844577e-14
"g1110",692.573541151226,4.64283210233605,0.577462222130578,8.04006205844267,8.9792984950796e-16,1.84165412134083e-13
"g586",78.2964247412848,5.81284707851909,0.724677833265795,8.02128450972927,1.04645033261186e-15,1.95115421107902e-13
"g2068",2296.94796001151,-2.85617393845642,0.358137040704534,-7.97508666748822,1.5227392890565e-15,2.60261523487906e-13
"g608",7584.45110132132,3.94971563380263,0.499413713588911,7.90870479991226,2.60080510767352e-15,3.91160532448038e-13
"g3343",2877.8347692814,2.45308110001112,0.3103031913874,7.90543303484288,2.67003776415043e-15,3.91160532448038e-13
"g76",7538.00930473515,3.52481564729041,0.458314190801211,7.69082807828498,1.46185759893286e-14,1.87391870963206e-12
"g1326",207.841085380966,6.33977402299307,0.824244575765126,7.69161752397098,1.45286390976298e-14,1.87391870963206e-12
"g2303",627.372709799981,-3.05817633204422,0.400735539162278,-7.63140783180152,2.32203824555252e-14,2.8014708480166e-12
"g1103",378.823209256483,-2.70202430030262,0.354601630599524,-7.61988684523055,2.5389818920886e-14,2.8930288114854e-12
"g2764",1031.41937476037,-4.1816427076353,0.554631798405048,-7.5394932632071,4.71801176251907e-14,5.09296953943506e-12
"g1981",972.509268785795,-2.28167353209472,0.306648582334905,-7.44067856019892,1.00169417370918e-13,1.02723737513876e-11
"g1079",187.941342107036,3.95624659075793,0.534334566819858,7.40406261624417,1.32080095335385e-13,1.28998226444226e-11
"g376",322.125604454979,-6.56007848987842,0.890509192765911,-7.36666004480302,1.74955875458462e-13,1.63106591166048e-11
"g1461",98.3832818147918,5.29364705039117,0.7222089285488,7.32980006357464,2.30496343521071e-13,2.05542608939876e-11
"g795",978.331277542199,-2.53414587484561,0.35505149877688,-7.13740368249538,9.51102205413498e-13,8.12796093042952e-11
"g2067",722.10337155228,-3.1006978850813,0.434895854260652,-7.12974808728096,1.00552787526584e-12,8.24935068868098e-11
"g792",83.7592261164394,-9.76847233485788,1.39625184625696,-6.99621086342336,2.62977656206459e-12,1.99765619584981e-10
"g1076",73.0116723227855,5.23901968931768,0.748374695924421,7.0005302395296,2.54995586413725e-12,1.99765619584981e-10
"g434",243.487191888816,-4.09160877310349,0.588337194269124,-6.95453017922212,3.53738911632866e-12,2.59113752771075e-10
"g2535",147.616737667264,3.73462086515406,0.538591088863937,6.93405617428908,4.08942142742056e-12,2.8922080509102e-10
"g2096",278.929737160286,3.37165803148193,0.491143637634619,6.86491236600369,6.65320831277572e-12,4.54857674983433e-10
"g628",339.172937803251,3.22054776085848,0.471134777273618,6.83572496918033,8.1591345967392e-12,5.22949533059753e-10
"g1102",519.076067921472,-2.23556710609175,0.326952692804253,-6.83758585047099,8.05388254626988e-12,5.22949533059753e-10
"g2036",752.655842977295,2.11507920876934,0.312017378078561,6.77872246024961,1.21243179851559e-11,7.53544732956201e-10
"g1468",142.692674643653,3.44135833164281,0.508081758009278,6.7732373331537,1.25932109637581e-11,7.59666931960818e-10
"g507",2845.24778050092,2.26258841353503,0.334537830603404,6.76332601743131,1.34859299570409e-11,7.68323398385855e-10
"g1354",56.9849057520983,5.29179522769452,0.782137004004263,6.76581621966792,1.32559725635865e-11,7.68323398385855e-10
"g282",1394.49248694804,-1.82260771824719,0.273269219502333,-6.66964146773078,2.5642909553248e-11,1.42144885118139e-09
"g2146",462.457673222336,-3.05859182093292,0.45979196409038,-6.6521210891187,2.88898854893917e-11,1.55929355628269e-09
"g627",91.3403335231071,5.09654932096413,0.767398459879042,6.64133378866495,3.10857164964876e-11,1.63478985985375e-09
"g531",502.090930665422,5.6273421282379,0.84863078357662,6.63108413828807,3.33230209319515e-11,1.70863789828581e-09
"g822",1213.45635118591,-3.16625013890298,0.480738633795758,-6.58621944715217,4.51166847360382e-11,2.25693464374669e-09
"g2066",345.541912245303,-4.0769873159043,0.630452190041289,-6.46676683863575,1.00121952067391e-10,4.88928865929095e-09
"g562",13770.7412052513,3.64174990674256,0.565965346352253,6.43458107499741,1.23814336908125e-10,5.90565593019919e-09
"g227",10157.5313537589,3.12544758780836,0.486270385441076,6.42738624720769,1.29816671608816e-10,6.05122712431096e-09
"g3155",678.054196904205,-4.89675959993318,0.766600893339743,-6.38762574173395,1.68481059618782e-10,7.67899229506938e-09
"g1167",360.610532751515,2.93303622157693,0.461678196201932,6.35298839257737,2.11171656986543e-10,9.4155014886826e-09
"g1673",95.3623921721694,5.17641345513313,0.822103948708113,6.29654371964465,3.04355466801614e-10,1.3281554519364e-08
"g3221",561.230115906133,-3.52152039614875,0.566054029013289,-6.22117362592975,4.93449728677804e-10,2.10846956982953e-08
"g2111",38.0873655401693,6.33564025800003,1.02147350806103,6.20245185802853,5.55901929529851e-10,2.32684664788923e-08
"g966",74.1795870472536,-5.27840878428219,0.853818323371191,-6.1821216994279,6.32457368277885e-10,2.59434012467588e-08
"g776",106.488893942992,6.00524641232679,0.979885571337621,6.12851805147937,8.87013667034051e-10,3.56718633546439e-08
"g1666",654.321551571054,2.81436776176171,0.460119929448953,6.11659609078928,9.55952535005448e-10,3.77049740249264e-08
"g248",359.72566122189,2.88784617518753,0.475135129300439,6.07794708726215,1.21730906637212e-09,4.71075640590419e-08
"g2777",236.967617224914,-3.79939986143669,0.628071316849999,-6.04931280812508,1.45464974670459e-09,5.52497524165022e-08
"g454",813.84637650396,4.18717628227299,0.695997663224447,6.01607807542696,1.78693410901295e-09,6.62911474806835e-08
"g2532",242.496874581886,-2.38024727429935,0.395784335670744,-6.01400070638343,1.80999720083778e-09,6.62911474806835e-08
"g2904",999.594365229331,1.86953291755917,0.316134125290085,5.91373334290845,3.34439166986664e-09,1.20339426577131e-07
"g2048",423.947356568158,1.9533621068238,0.330907884529805,5.90303887620987,3.56866136818996e-09,1.2619524941651e-07
"g642",198.823772763401,3.39652374913897,0.576623566833979,5.89036582009297,3.8534164215795e-09,1.33955204756942e-07
"g875",346.28484207226,-1.87308810004267,0.318293344067663,-5.88478563863555,3.985702319097e-09,1.36244590941133e-07
"g2444",970.180040707724,2.20054343194686,0.37883934880298,5.80864537672742,6.29803291363727e-09,2.11758450915902e-07
"g2583",59.2551775163434,-5.23118516733337,0.902311083447537,-5.79754063016286,6.72944804267955e-09,2.22614482831222e-07
"g1060",66.0650704443882,4.63650865145993,0.800913786378049,5.78902340091746,7.07968352383466e-09,2.30483030275951e-07
"g2641",4746.76109424277,-2.69652247409691,0.466730442755588,-5.77747287744201,7.58309409428054e-09,2.43014468552647e-07
"g259",186.956996741611,-3.50954551737371,0.611141218085828,-5.74260974961899,9.32284156430095e-09,2.94171508436635e-07
"g2443",61.2460564104919,3.80067259601143,0.667827022171227,5.69110333938682,1.2622108464219e-08,3.85198356518372e-07
"g2534",37627.7751421504,2.33368173715101,0.41038217023191,5.68660606242281,1.29588915649769e-08,3.85198356518372e-07
"g2807",115.500095810354,4.95581101987055,0.871341109738541,5.68756708995128,1.28861984552573e-08,3.85198356518372e-07
"g2827",44.8141535657334,4.07777368495315,0.716802165500489,5.68884119107808,1.27904346915071e-08,3.85198356518372e-07
"g374",225.960016971907,-2.66371543842179,0.470222930265801,-5.66479273334477,1.47202358774664e-08,4.31302911209767e-07
"g2645",1104.55389176041,2.78343860937352,0.492925189376043,5.64677697420347,1.63483688772314e-08,4.72260627707066e-07
"g879",581.941285615962,-1.92818659838751,0.34250931321223,-5.62958881410837,1.80639738665734e-08,5.07523430141673e-07
"g3041",34.9642029653297,5.76634062234608,1.02398428422276,5.63127843971053,1.78878665275386e-08,5.07523430141673e-07
"g2564",776.763701527836,-2.18975098576824,0.389978794702058,-5.61505142206823,1.96503798496526e-08,5.44634176643749e-07
"g1109",8878.17481539478,3.44403601610417,0.614984507308854,5.60019963945942,2.14105084105391e-08,5.85506036666876e-07
"g1094",69.45381244055,3.5613230275387,0.63829081643797,5.57946775329298,2.41255664801581e-08,6.51072853300057e-07
"g36",1670.12984915282,1.99327415469625,0.363352556765927,5.48578541028493,4.11636352588004e-08,1.09275204430267e-06
"g37",777.205790424751,-2.07709149500569,0.378747820652072,-5.48410150962627,4.15576106560744e-08,1.09275204430267e-06
"g1133",299.521488709192,3.50637391114589,0.64195839236979,5.4619955947645,4.70811765889916e-08,1.22232269853192e-06
"g156",2089.7891474459,-2.32745335081851,0.426612080042006,-5.45566677481175,4.87894140475761e-08,1.23539615076023e-06
