# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-F" "GFF" "-t" "gene" "-g" "ID" "-a" "analyses/03_annotation/augustus_chr3/augustus_chr3.gff" "-o" "analyses/06_counts/featurecounts_chr3.txt" "analyses/05_expression/mapping/control/Control_1.sorted.bam" "analyses/05_expression/mapping/control/Control_2.sorted.bam" "analyses/05_expression/mapping/control/Control_3.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam" "analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_expression/mapping/control/Control_1.sorted.bam	analyses/05_expression/mapping/control/Control_2.sorted.bam	analyses/05_expression/mapping/control/Control_3.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_1.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_2.sorted.bam	analyses/05_expression/mapping/heat_treated/Heat_3.sorted.bam
g1	contig_1_pilon	1793	2839	+	1047	0	0	0	0	0	0
g2	contig_1_pilon	4386	7672	+	3287	0	0	0	0	0	0
g3	contig_1_pilon	7687	12651	-	4965	0	0	0	0	0	0
g4	contig_1_pilon	13197	16971	-	3775	0	0	0	0	0	0
g5	contig_1_pilon	17196	18275	+	1080	0	0	0	0	0	0
g6	contig_1_pilon	18496	23626	+	5131	0	0	0	0	0	0
g7	contig_102_pilon	2	4131	-	4130	1	5	23	186	10	498
g8	contig_102_pilon	4226	7120	+	2895	0	0	25	62	2	242
g9	contig_102_pilon	7176	9509	+	2334	4	5	4	130	29	58
g10	contig_102_pilon	9717	15251	-	5535	2	4	0	42	0	1
g11	contig_103_pilon	96	4253	+	4158	0	0	0	6	0	5
g12	contig_103_pilon	5216	11376	+	6161	0	0	0	0	0	0
g13	contig_103_pilon	11443	12371	-	929	0	0	0	0	0	0
g14	contig_103_pilon	12806	22887	+	10082	0	0	2	9	0	3
g15	contig_103_pilon	23386	37580	+	14195	1	14	9	32	0	21
g16	contig_103_pilon	37930	39621	-	1692	4	0	3	0	0	6
g17	contig_103_pilon	53759	56921	-	3163	0	0	0	0	0	0
g18	contig_103_pilon	65496	66096	+	601	0	0	0	0	0	0
g19	contig_103_pilon	67036	72949	+	5914	585	306	602	88	134	131
g20	contig_103_pilon	73076	74879	+	1804	656	292	710	222	238	173
g21	contig_103_pilon	75016	77457	+	2442	0	0	0	3	0	0
g22	contig_103_pilon	78510	80851	-	2342	66	10	14	42	28	42
g23	contig_103_pilon	82526	84204	+	1679	315	100	70	87	68	171
g24	contig_103_pilon	84516	87520	+	3005	1115	980	804	1046	1473	1482
g25	contig_103_pilon	88135	92431	-	4297	71	251	339	8	8	50
g26	contig_103_pilon	96027	103681	-	7655	499	859	646	334	214	597
g27	contig_103_pilon	105198	106571	-	1374	0	0	0	0	0	2
g28	contig_103_pilon	106686	111214	+	4529	27111	10161	13207	13986	16913	13455
g29	contig_103_pilon	111227	126731	-	15505	1696	1187	902	602	262	549
g30	contig_103_pilon	131516	142714	+	11199	1855	2416	2427	1238	697	1054
g31	contig_103_pilon	147567	148641	-	1075	0	0	0	0	0	0
g32	contig_103_pilon	148806	156687	+	7882	1025	4431	3688	1930	1357	1834
g33	contig_103_pilon	157586	163965	+	6380	2487	2816	2898	6180	4603	5240
g34	contig_103_pilon	164986	168925	+	3940	223	251	290	599	290	293
g35	contig_103_pilon	168987	171711	-	2725	767	854	1392	2977	2811	3891
g36	contig_103_pilon	172927	181947	-	9021	1594	1753	1815	380	283	763
g37	contig_103_pilon	182072	183837	+	1766	576	595	607	1451	697	446
g38	contig_103_pilon	184442	189419	+	4978	2438	2315	2003	4943	3923	2279
g39	contig_103_pilon	189487	192567	-	3081	667	830	665	395	204	772
g40	contig_103_pilon	193232	198857	+	5626	425	507	491	314	236	516
g41	contig_103_pilon	200235	201967	-	1733	28	37	36	131	35	119
g42	contig_103_pilon	202043	208867	-	6825	2983	2711	2823	2693	2276	4296
g43	contig_103_pilon	208962	210005	+	1044	0	2	0	0	0	0
g44	contig_103_pilon	210062	210966	+	905	0	0	0	0	0	0
g45	contig_103_pilon	211599	212237	-	639	0	0	0	0	0	0
g46	contig_103_pilon	213305	225307	-	12003	590	1113	937	343	254	662
g47	contig_103_pilon	225462	227334	+	1873	6	2	10	2	3	2
g48	contig_103_pilon	227882	230448	+	2567	1597	1039	1660	1046	831	1559
g49	contig_103_pilon	230530	232407	-	1878	32	373	277	37	64	17
g50	contig_103_pilon	232654	235777	-	3124	4	14	13	61	50	61
g51	contig_103_pilon	235912	259497	+	23586	8238	1244	972	2322	1574	2699
g52	contig_103_pilon	260382	262149	+	1768	10557	48	60	1005	1693	2605
g53	contig_103_pilon	262445	266277	-	3833	894	734	869	993	669	792
g54	contig_103_pilon	266422	267132	+	711	0	0	0	0	0	0
g55	contig_103_pilon	270122	283325	+	13204	0	0	0	0	0	0
g56	contig_103_pilon	284282	285567	-	1286	0	0	0	0	0	0
g57	contig_103_pilon	289292	291468	+	2177	16	128	68	108	32	52
g58	contig_103_pilon	297132	300583	+	3452	221	217	376	289	188	172
g59	contig_103_pilon	300742	303622	+	2881	1585	2348	2637	2258	1761	2146
g60	contig_103_pilon	304101	308107	-	4007	2676	1370	980	2041	3597	2938
g61	contig_103_pilon	308202	318567	+	10366	253	385	299	74	253	143
g62	contig_103_pilon	319153	323137	-	3985	7390	4482	3524	78	98	834
g63	contig_103_pilon	323792	327381	+	3590	1177	178	372	1248	652	1190
g64	contig_103_pilon	327387	328607	-	1221	3225	316	1206	3442	1680	2253
g65	contig_103_pilon	329932	333556	+	3625	618	5025	7245	494	242	797
g66	contig_103_pilon	333622	336849	+	3228	15	189	299	94	23	79
g67	contig_103_pilon	338762	344443	+	5682	927	1594	1805	390	614	960
g68	contig_103_pilon	346406	347410	+	1005	6	0	1	1	0	19
g69	contig_103_pilon	347427	352251	-	4825	298	228	217	96	35	126
g70	contig_103_pilon	352606	356630	+	4025	1028	942	842	618	387	691
g71	contig_103_pilon	357076	359213	+	2138	1292	714	1145	1773	1517	1863
g72	contig_103_pilon	360806	366937	+	6132	1054	1546	1427	12372	17298	10036
g73	contig_103_pilon	368059	369721	-	1663	588	9140	5301	896	2815	1897
g74	contig_103_pilon	376596	382857	+	6262	2345	2842	2383	662	391	1149
g75	contig_103_pilon	383241	387231	-	3991	4	38	21	6	10	32
g76	contig_103_pilon	389481	393181	-	3701	114	307	203	287	121	151
g77	contig_103_pilon	393776	403636	+	9861	1163	1272	1091	1808	1423	1899
g78	contig_103_pilon	403753	406781	-	3029	502	1046	813	394	456	308
g79	contig_103_pilon	407036	411622	+	4587	1143	701	589	364	195	550
g80	contig_103_pilon	411706	413711	-	2006	1186	2339	1652	1320	1054	1585
g81	contig_103_pilon	415136	428818	+	13683	4559	5577	3925	6676	2886	6760
g82	contig_103_pilon	431076	432482	+	1407	16200	835	1193	4152	4617	5603
g83	contig_103_pilon	432542	435551	-	3010	991	3619	3425	738	869	1167
g84	contig_103_pilon	435796	436642	+	847	2	32	21	78	74	45
g85	contig_103_pilon	436929	442411	-	5483	2588	1527	1921	3827	2644	3578
g86	contig_103_pilon	443111	445891	-	2781	219	244	264	181	70	373
g87	contig_103_pilon	446186	452582	+	6397	30	67	47	44	51	50
g88	contig_103_pilon	454704	457261	-	2558	181	394	399	49	46	120
g89	contig_103_pilon	457366	460466	+	3101	1008	2188	2385	355	99	539
g90	contig_103_pilon	461826	470213	+	8388	3031	7239	10190	6722	4106	9337
g91	contig_103_pilon	470336	471986	+	1651	535	719	599	453	337	443
g92	contig_103_pilon	472055	476251	-	4197	145	338	186	88	38	204
g93	contig_103_pilon	476686	485692	+	9007	28	113	77	72	69	90
g94	contig_103_pilon	485780	489001	-	3222	21040	11417	15679	18784	17626	17794
g95	contig_103_pilon	490997	494761	-	3765	0	0	0	0	0	0
g96	contig_103_pilon	495026	496468	+	1443	0	0	0	0	0	0
g97	contig_103_pilon	498586	503371	+	4786	156	415	394	62	23	143
g98	contig_103_pilon	505076	514148	+	9073	955	1471	1552	426	249	596
g99	contig_103_pilon	515276	518725	+	3450	1333	2225	1899	3695	2993	3224
g100	contig_103_pilon	518958	534391	-	15434	1608	2266	2383	2077	1141	2714
g101	contig_103_pilon	538608	541699	+	3092	7165	60238	50627	29744	44609	20616
g102	contig_103_pilon	547828	555322	+	7495	1267	1573	1426	1640	885	1252
g103	contig_103_pilon	555326	560053	-	4728	1019	15447	3968	3050	3009	4189
g104	contig_103_pilon	560218	561586	+	1369	149	217	206	331	238	262
g105	contig_103_pilon	563328	565391	+	2064	1588	2521	2504	3476	2365	3317
g106	contig_103_pilon	565968	577704	+	11737	1412	3722	3194	479	269	1312
g107	contig_103_pilon	577798	582603	-	4806	2930	2735	2803	5474	4970	4107
g108	contig_103_pilon	587588	590322	+	2735	1705	1666	2156	1411	1108	1590
g109	contig_103_pilon	592731	599413	-	6683	707	1985	884	788	1830	1393
g110	contig_103_pilon	599578	603714	+	4137	33	57	45	76	73	161
g111	contig_103_pilon	607089	621643	-	14555	3700	6712	4971	3395	1427	3329
g112	contig_103_pilon	621774	623473	-	1700	43	122	97	77	41	49
g113	contig_103_pilon	625216	627033	-	1818	14	10	19	34	31	24
