EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10088	embplant_pt	ndhA	ndhA	ndhA	ndhA(10-261,embplant_pt)
1027	embplant_mt;embplant_pt	rrnL;rrn23	rrnL>>rrn23	rrnL>>rrn23	rrnL(3-1159,embplant_mt)>>rrn23(116-1096,embplant_pt)
1147	embplant_mt	atp4,atp8,cox1	cox1>>atp4>>atp8	cox1>>atp4>>atp8	cox1(1-5605,embplant_mt)>>atp4(5619-6153,embplant_mt)>>atp8(6208-6670,embplant_mt)
12792	embplant_pt	psaB	psaB	psaB	psaB(2-346,embplant_pt)
1321	embplant_pt	accD,cemA,clpP,infA,petA,petB,petD,petG,psaI,psaJ,psbB,psbE,psbF,psbH,psbJ,psbL,psbN,psbT,rpl14,rpl16,rpl2,rpl20,rpl22,rpl23,rpl33,rpl36,rps11,rps18,rps19,rps3,rps8,ycf4	rpl23>>rpl2>>rps19>>rpl22>>rps3>>rpl16>>rpl14>>rps8>>infA>>rpl36>>rps11>>petD>>petB>>psbH>>psbN>>psbT>>psbB>>clpP>>rpl20>>rps18>>rpl33>>psaJ>>petG>>psbE>>psbF>>psbL>>psbJ>>petA>>cemA>>ycf4>>psaI>>accD	rpl23>>rpl2>>rps19>>rpl22>>rps3>>rpl16>>rpl14>>rps8>>infA>>rpl36>>rps11>>petD>>petB>>psbH>>psbN>>psbT>>psbB>>clpP>>rpl20>>rps18>>rpl33>>psaJ>>petG>>psbE>>psbF>>psbL>>psbJ>>petA>>cemA>>ycf4>>psaI>>accD	rpl23(450-725,embplant_pt)>>rpl2(754-2194,embplant_pt)>>rps19(2258-2536,embplant_pt)>>rpl22(2576-2901,embplant_pt)>>rps3(2954-3610,embplant_pt)>>rpl16(4413-4903,embplant_pt)>>rpl14(5065-5433,embplant_pt)>>rps8(5780-6178,embplant_pt)>>infA(6294-6530,embplant_pt)>>rpl36(6642-6755,embplant_pt)>>rps11(6896-7288,embplant_pt)>>petD(7533-8094,embplant_pt)>>petB(8897-9620,embplant_pt)>>psbH(10293-10517,embplant_pt)>>psbN(10606-10737,embplant_pt)>>psbT(10822-10929,embplant_pt)>>psbB(11088-12614,embplant_pt)>>clpP(12915-14640,embplant_pt)>>rpl20(15639-15984,embplant_pt)>>rps18(16115-16344,embplant_pt)>>rpl33(16366-16563,embplant_pt)>>psaJ(16733-16861,embplant_pt)>>petG(17476-17584,embplant_pt)>>psbE(18681-18932,embplant_pt)>>psbF(18942-19061,embplant_pt)>>psbL(19096-19211,embplant_pt)>>psbJ(19329-19450,embplant_pt)>>petA(20559-21518,embplant_pt)>>cemA(21715-23232,embplant_pt)>>ycf4(23347-23909,embplant_pt)>>psaI(24139-24243,embplant_pt)>>accD(24513-25417,embplant_pt)
1329	embplant_mt	atp9,cox1,rpl5,rpl6,rps11,rps13,rps14	cox1>>atp9>>rps11>>rps13>>rpl6>>rps14>>rpl5	cox1>>atp9>>rps11>>rps13>>rpl6>>rps14>>rpl5	cox1(1-2476,embplant_mt)>>atp9(4866-4993,embplant_mt)>>rps11(9798-10184,embplant_mt)>>rps13(10617-10977,embplant_mt)>>rpl6(10984-11286,embplant_mt)>>rps14(12855-13154,embplant_mt)>>rpl5(13159-13691,embplant_mt)
1331	embplant_mt;embplant_pt	rrnL,rrnS;rrn16,rrn23,rrn4.5,rrn5	rrn16>>rrnS>>rrn23>>rrnL>>rrn4.5>>rrn5>>1337	rrn16>>rrnS>>rrn23>>rrnL>>rrn4.5>>rrn5>>1337	rrn16(1389-2887,embplant_pt)>>rrnS(1610-2763,embplant_mt)>>rrn23(5105-7918,embplant_pt)>>rrnL(6747-7893,embplant_mt)>>rrn4.5(8022-8124,embplant_pt)>>rrn5(8323-8443,embplant_pt)>>1337
1333	embplant_mt;embplant_pt	atp1;atpA,atpB,atpE,atpF,atpH,atpI,chlB,matK,ndhB,ndhC,ndhJ,ndhK,psaA,psaB,psbA,psbC,psbD,psbI,psbK,psbM,psbZ,rbcL,rpoB,rpoC1,rpoC2,rps12_2,rps14,rps2,rps4,rps7,ycf2,ycf3,ycf66	rps12_2>>rps7>>ndhB>>psbM>>ycf66>>rpoB>>rpoC1>>rpoC2>>rps2>>atpI>>atpH>>atpF>>atpA>>atp1>>psbI>>psbK>>chlB>>matK>>psbA>>ycf2>>psbM>>psbD>>psbC>>psbZ>>rps14>>psaB>>psaA>>psaB>>ycf3>>rps4>>ndhJ>>ndhK>>ndhC>>atpE>>atpB>>rbcL	rps12_2>>rps7>>ndhB>>psbM>>ycf66>>rpoB>>rpoC1>>rpoC2>>rps2>>atpI>>atpH>>atpF>>atpA>>atp1>>psbI>>psbK>>chlB>>matK>>psbA>>ycf2>>psbM>>psbD>>psbC>>psbZ>>rps14>>psaB>>psaA>>psaB>>ycf3>>rps4>>ndhJ>>ndhK>>ndhC>>atpE>>atpB>>rbcL	rps12_2(338-689,embplant_pt)>>rps7(1143-1610,embplant_pt)>>ndhB(1783-3918,embplant_pt)>>psbM(4409-4511,embplant_pt)>>ycf66(4683-5485,embplant_pt)>>rpoB(6414-9593,embplant_pt)>>rpoC1(9639-12449,embplant_pt)>>rpoC2(12549-16589,embplant_pt)>>rps2(16770-17464,embplant_pt)>>atpI(17687-18450,embplant_pt)>>atpH(18871-19116,embplant_pt)>>atpF(19459-20625,embplant_pt)>>atpA(20669-22192,embplant_pt)>>atp1(21440-21866,embplant_mt)>>psbI(24072-24182,embplant_pt)>>psbK(24615-24791,embplant_pt)>>chlB(25317-26848,embplant_pt)>>matK(28248-29694,embplant_pt)>>psbA(30181-31242,embplant_pt)>>ycf2(35827-38635,embplant_pt)>>psbM(39500-39579,embplant_pt)>>psbD(40091-41152,embplant_pt)>>psbC(41100-42520,embplant_pt)>>psbZ(42947-43139,embplant_pt)>>rps14(43840-44141,embplant_pt)>>psaB(44312-46516,embplant_pt)>>psaA(45600-48794,embplant_pt)>>psaB(47816-47941,embplant_pt)>>ycf3(49046-50939,embplant_pt)>>rps4(51254-51862,embplant_pt)>>ndhJ(53268-53777,embplant_pt)>>ndhK(53953-54464,embplant_pt)>>ndhC(54537-54887,embplant_pt)>>atpE(56080-56476,embplant_pt)>>atpB(56473-57965,embplant_pt)>>rbcL(58430-59855,embplant_pt)
1337	embplant_pt	chlL,chlN,ndhA,ndhD,ndhE,ndhF,ndhG,ndhH,ndhI,psaC,rpl21,rps15,ycf1	chlL>>chlN>>ycf1>>rps15>>ndhH>>ndhA>>ndhI>>ndhG>>ndhE>>psaC>>ndhD>>rpl21>>ndhF>>1331	chlL>>chlN>>ycf1>>rps15>>ndhH>>ndhA>>ndhI>>ndhG>>ndhE>>psaC>>ndhD>>rpl21>>ndhF>>1331	chlL(217-1038,embplant_pt)>>chlN(1133-2527,embplant_pt)>>ycf1(2695-7407,embplant_pt)>>rps15(7598-7863,embplant_pt)>>ndhH(7916-9097,embplant_pt)>>ndhA(9104-10950,embplant_pt)>>ndhI(11038-11580,embplant_pt)>>ndhG(11647-12165,embplant_pt)>>ndhE(12275-12576,embplant_pt)>>psaC(12698-12943,embplant_pt)>>ndhD(13034-14492,embplant_pt)>>rpl21(15621-15942,embplant_pt)>>ndhF(16360-17741,embplant_pt)>>1331
14360	embplant_pt	psaB	psaB	psaB	psaB(1-377,embplant_pt)
